### var1 :  el_sc_eta 
### var2 :  el_pt 
  +1.566	  +2.000	+100.000	+200.000	0.868	0.004	0.878	0.013	-1.000	-1.000	0.874	0.876
  +2.000	  +2.500	+100.000	+200.000	0.844	0.006	0.836	0.019	-1.000	-1.000	0.825	0.840
  -2.500	  -2.000	+200.000	+500.000	0.875	0.020	0.914	0.058	-1.000	-1.000	0.842	0.900
  -2.000	  -1.566	+200.000	+500.000	0.908	0.012	0.903	0.042	-1.000	-1.000	0.910	0.890
  -1.566	  -1.444	+200.000	+500.000	0.707	0.031	0.799	0.103	-1.000	-1.000	0.682	0.787
  -1.444	  -0.800	+200.000	+500.000	0.853	0.008	0.900	0.025	-1.000	-1.000	0.857	0.895
  -0.800	  +0.000	+200.000	+500.000	0.903	0.006	0.872	0.029	-1.000	-1.000	0.897	0.877
  +0.000	  +0.800	+200.000	+500.000	0.901	0.006	0.936	0.015	-1.000	-1.000	0.902	0.946
  +0.800	  +1.444	+200.000	+500.000	0.876	0.007	0.885	0.026	-1.000	-1.000	0.886	0.887
  +1.444	  +1.566	+200.000	+500.000	0.731	0.034	0.670	0.123	-1.000	-1.000	0.636	0.644
  +1.566	  +2.000	+200.000	+500.000	0.911	0.013	0.931	0.030	-1.000	-1.000	0.894	0.942
  +2.000	  +2.500	+200.000	+500.000	0.889	0.019	0.809	0.067	-1.000	-1.000	0.922	0.834
