pt range	chiso range	        total    Fake    True  fitFake  fitTrue closureFake/closureTrue fake_fraction/fit_fakerate/error/closure(0.0052<sieie<0.0102)
###########################################################################################################################################
40 <pt<50 	4<chiso range<9 	70.0669	23.6561	46.4108	31.4134	38.6487	0.859773	0.82560      0.19614  	0.32997 	0.09529 	1.404451
40 <pt<50 	4<chiso range<10 	70.0669	23.6561	46.4108	30.6069	39.4363	0.790666	0.75338      0.19614  	0.313874	0.0906443	1.298860
40 <pt<50 	6<chiso range<10 	70.0669	23.6561	46.4108	29.863	40.1798	0.720935	0.68004      0.19614  	0.298741	0.0865931	1.184867
40 <pt<50 	8<chiso range<10 	70.0669	23.6561	46.4108	26.2374	43.8026	0.343091	0.30423      0.19614  	0.232446	0.0670193	0.5417243
40 <pt<50 	5<chiso range<12 	70.0669	23.6561	46.4108	26.8485	43.1932	0.407811	0.36675      0.19614  	0.24748 	0.0725391	0.7077569
############################################################################################     ############################################
50 <pt<65 	2<chiso range<4 	51.5677	14.5067	37.061	15.6596	35.5044	0.184768	0.20515      0.168396	0.202098	0.0807493	0.4173624
50 <pt<65 	3<chiso range<5 	51.5677	14.5067	37.061	11.6028	39.5568	0.576367	0.34720      0.168396	0.123261	0.0536476	0.8413290
50 <pt<65 	4<chiso range<6 	51.5677	14.5067	37.061	9.42825	41.7561	1.18145 	0.67125      0.168396	0.090966	0.0415598	1.863118
50 <pt<65 	5<chiso range<7 	51.5677	14.5067	37.061	11.6806	39.4674	0.526813	0.32522      0.168396	0.132625	0.0610363	0.5860669
50 <pt<65 	6<chiso range<8 	51.5677	14.5067	37.061	15.834	35.3341	0.207365	0.22434      0.168396	0.21108 	0.0855556	0.4989 9
50 <pt<65 	4<chiso range<9 	51.5677	14.5067	37.061	13.3925	37.7211	0.19171 	0.08783      0.168396	0.164629	0.0716092	0.0526093
50 <pt<65 	4<chiso range<10 	51.5677	14.5067	37.061	13.5203	37.5913	0.17144 	0.07111      0.168396	0.162681	0.0693962	0.0823579
50 <pt<65 	6<chiso range<10 	51.5677	14.5067	37.061	16.4601	34.7168	0.292433	0.29843      0.168396	0.221762	0.0902335	0.5914181
50 <pt<65 	8<chiso range<10 	51.5677	14.5067	37.061	15.9686	35.2065	0.216278	0.23248      0.168396	0.21773 	0.0923873	0.5339887
50 <pt<65 	5<chiso range<12 	51.5677	14.5067	37.061	12.6257	38.5289	0.363686	0.20520      0.168396	0.135002	0.0554467	0.6022774
###########################################################################################      ############################################
65 <pt<100 	2<chiso range<4 	41.8775	10.0398	31.8378	9.78438	32.1626	0.0586104	0.05139      0.125846	0.120653	0.0538555	0.0964310
65 <pt<100 	3<chiso range<5 	41.8775	10.0398	31.8378	9.79616	32.1508	0.0557614	0.04947      0.125846	0.121964	0.0545173	0.0712130
