pt range	 chiso range	 DataNumber/FakeNumber/     fake_fraction/fit_fakerate/fit_fakerateErr/closure
#######################################################################################
100 <pt<400	3<chiso range<5 	20.6023	1.47593	0.0716391	0.140546	0.0993697	0.69344
100 <pt<400	4<chiso range<6 	20.6023	1.47593	0.0716391	0.0398715	0.0291394	1.09019
100 <pt<400	5<chiso range<7 	20.6023	1.47593	0.0716391	0.0203377	0.0149665	3.42775
100 <pt<400	6<chiso range<8 	20.6023	1.47593	0.0716391	0.0526482	0.0409823	0.463392
100 <pt<400	4<chiso range<9 	20.6023	1.47593	0.0716391	0.0454003	0.0337139	0.778278
100 <pt<400	4<chiso range<10 	20.6023	1.47593	0.0716391	0.0314129	0.0230097	1.74823
100 <pt<400	6<chiso range<10 	20.6023	1.47593	0.0716391	0.0262042	0.0194087	2.34095
100 <pt<400	8<chiso range<10 	20.6023	1.47593	0.0716391	0.00692803	0.00502149	12.8868
100 <pt<400	5<chiso range<12 	20.6023	1.47593	0.0716391	0.0297442	0.0217108	1.92968
#######################################################################################
