pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
35  <pt<40 	7<chiso range<13 	30.7794	56.3099	9.59396	2.6611
35  <pt<40 	8<chiso range<13 	30.7794	54.9887	9.74146	2.48518
#######################################################################################
40  <pt<45 	3<chiso range<8 	22.9851	39.6773	7.78709	2.14357
40  <pt<45 	3<chiso range<9 	22.9851	39.4945	7.80826	2.11435
40  <pt<45 	3<chiso range<10 	22.9851	39.696	7.76818	2.1512
40  <pt<45 	3<chiso range<11 	22.9851	39.6171	7.77227	2.13992
40  <pt<45 	3<chiso range<12 	22.9851	39.1157	7.85142	2.05448
40  <pt<45 	3<chiso range<13 	22.9851	39.1461	7.83668	2.06223
40  <pt<45 	4<chiso range<9 	22.9851	39.1637	7.88811	2.05101
40  <pt<45 	4<chiso range<10 	22.9851	39.4502	7.82641	2.10379
40  <pt<45 	4<chiso range<11 	22.9851	39.3862	7.82417	2.09621
40  <pt<45 	4<chiso range<12 	22.9851	38.825	7.91321	2.0017
40  <pt<45 	4<chiso range<13 	22.9851	38.879	7.89112	2.01415
40  <pt<45 	5<chiso range<10 	22.9851	40.7032	7.6748	2.30861
40  <pt<45 	5<chiso range<11 	22.9851	40.4459	7.69421	2.26934
40  <pt<45 	5<chiso range<12 	22.9851	39.7272	7.8017	2.14596
40  <pt<45 	5<chiso range<13 	22.9851	39.6962	7.78798	2.14576
40  <pt<45 	6<chiso range<11 	22.9851	39.2416	7.84379	2.07253
40  <pt<45 	6<chiso range<12 	22.9851	38.4294	7.97449	1.93671
40  <pt<45 	6<chiso range<13 	22.9851	38.5504	7.93559	1.96145
40  <pt<45 	7<chiso range<12 	22.9851	39.0847	7.83077	2.05594
40  <pt<45 	7<chiso range<13 	22.9851	39.1508	7.80685	2.07071
40  <pt<45 	8<chiso range<13 	22.9851	38.4724	7.90211	1.95989
#######################################################################################
45  <pt<50 	3<chiso range<8 	16.7455	27.4529	6.1425	1.74317
45  <pt<50 	3<chiso range<9 	16.7455	27.4221	6.16654	1.73138
45  <pt<50 	3<chiso range<10 	16.7455	27.1288	6.22745	1.66734
45  <pt<50 	3<chiso range<11 	16.7455	27.3045	6.19648	1.70403
45  <pt<50 	3<chiso range<12 	16.7455	27.2256	6.20597	1.68871
45  <pt<50 	3<chiso range<13 	16.7455	27.5803	6.15213	1.76115
45  <pt<50 	4<chiso range<9 	16.7455	27.2267	6.21887	1.68539
45  <pt<50 	4<chiso range<10 	16.7455	26.9066	6.28714	1.61617
45  <pt<50 	4<chiso range<11 	16.7455	27.129	6.24528	1.66262
45  <pt<50 	4<chiso range<12 	16.7455	27.0502	6.25228	1.64815
45  <pt<50 	4<chiso range<13 	16.7455	27.4782	6.18429	1.73548
45  <pt<50 	5<chiso range<10 	16.7455	26.5918	6.35022	1.55054
45  <pt<50 	5<chiso range<11 	16.7455	26.882	6.29405	1.61049
45  <pt<50 	5<chiso range<12 	16.7455	26.8146	6.29781	1.59883
45  <pt<50 	5<chiso range<13 	16.7455	27.3312	6.21357	1.70364
45  <pt<50 	6<chiso range<11 	16.7455	26.6655	6.41981	1.54522
45  <pt<50 	6<chiso range<12 	16.7455	26.5953	6.40809	1.53709
