120  <pt<400 	2<chiso range<4 	11.6976	12.5274	10.1381	0.0818497
120  <pt<400 	3<chiso range<5 	11.6976	12.1354	9.52037	0.0459856
120  <pt<400 	4<chiso range<6 	11.6976	6.55414	5.51512	0.932611
120  <pt<400 	5<chiso range<7 	11.6976	6.55414	5.51512	0.932611
120  <pt<400 	6<chiso range<8 	11.6976	12.7696	11.1683	0.095986
120  <pt<400 	4<chiso range<9 	11.6976	12.4701	9.99567	0.0772835
120  <pt<400 	4<chiso range<10 	11.6976	6.55414	5.51512	0.932611
120  <pt<400 	6<chiso range<10 	11.6976	12.6481	10.5363	0.0902119
120  <pt<400 	8<chiso range<10 	11.6976	6.55414	5.51512	0.932611
120  <pt<400 	5<chiso range<12 	11.6976	6.55414	5.51512	0.932611
#######################################################################################
25  <pt<400 	2<chiso range<4 	301.765	247.07	25.2851	2.16313
25  <pt<400 	3<chiso range<5 	301.765	260.472	24.369	1.69449
25  <pt<400 	4<chiso range<6 	301.765	265.83	24.1067	1.49066
25  <pt<400 	5<chiso range<7 	301.765	269.777	24.0169	1.3319
25  <pt<400 	6<chiso range<8 	301.765	268.01	24.0452	1.40381
25  <pt<400 	4<chiso range<9 	301.765	268.899	24.0582	1.3661
25  <pt<400 	4<chiso range<10 	301.765	272.154	23.8998	1.23896
25  <pt<400 	6<chiso range<10 	301.765	275.839	23.7795	1.09027
25  <pt<400 	8<chiso range<10 	301.765	284.226	23.5049	0.746185
25  <pt<400 	5<chiso range<12 	301.765	286.557	23.413	0.649554
#######################################################################################
