bin 1; uncertainty[0] = 0.0381312
bin 2; uncertainty[1] = 0.026393
bin 3; uncertainty[2] = 0.134011
bin 4; uncertainty[3] = 0.0721728
bin 5; uncertainty[4] = 0.0882336
bin 6; uncertainty[5] = 0.0807649
bin 7; uncertainty[6] = 0.0878129
bin 8; uncertainty[7] = 0.106168
bin 9; uncertainty[8] = 0.0476276
