bin 1; uncertainty[0] = 0.00148562
bin 2; uncertainty[1] = 0.00243374
bin 3; uncertainty[2] = 0.00319556
bin 4; uncertainty[3] = 0.00193601
bin 5; uncertainty[4] = 0.00215369
bin 6; uncertainty[5] = 0.00213643
bin 7; uncertainty[6] = 0.00199245
bin 8; uncertainty[7] = 0.00275441
bin 9; uncertainty[8] = 0.00138725
