bin 1; uncertainty[0] = 0.0916341
bin 2; uncertainty[1] = 0.0977102
bin 3; uncertainty[2] = 0.196091
bin 4; uncertainty[3] = 0.144232
bin 5; uncertainty[4] = 0.101668
bin 6; uncertainty[5] = 0.148615
bin 7; uncertainty[6] = 0.0419063
bin 8; uncertainty[7] = 0.113648
bin 9; uncertainty[8] = 0.145167
