pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
40  <pt<50 	6<chiso range<13 	46.4167	42.851	8.79238	0.405544
40  <pt<50 	7<chiso range<12 	46.4167	46.0606	8.39566	0.0424148
40  <pt<50 	7<chiso range<13 	46.4167	44.5015	8.59782	0.222754
40  <pt<50 	8<chiso range<13 	46.4167	45.0252	8.48186	0.164056
#######################################################################################
50  <pt<65 	3<chiso range<8 	37.061	38.0215	7.33206	0.131
50  <pt<65 	3<chiso range<9 	37.061	37.345	7.48402	0.0379475
50  <pt<65 	3<chiso range<10 	37.061	37.3797	7.43372	0.0428722
50  <pt<65 	3<chiso range<11 	37.061	38.3881	7.27122	0.182514
50  <pt<65 	3<chiso range<12 	37.061	38.6752	7.1746	0.224988
50  <pt<65 	3<chiso range<13 	37.061	38.4034	7.19041	0.186693
50  <pt<65 	4<chiso range<9 	37.061	37.7211	7.51537	0.0878333
50  <pt<65 	4<chiso range<10 	37.061	37.5913	7.45655	0.0711187
50  <pt<65 	4<chiso range<11 	37.061	38.7033	7.24841	0.226574
50  <pt<65 	4<chiso range<12 	37.061	38.9756	7.1478	0.267859
50  <pt<65 	4<chiso range<13 	37.061	38.6169	7.16919	0.217026
50  <pt<65 	5<chiso range<10 	37.061	36.2945	7.59	0.100988
50  <pt<65 	5<chiso range<11 	37.061	38.0312	7.28328	0.133209
50  <pt<65 	5<chiso range<12 	37.061	38.5289	7.15336	0.205204
50  <pt<65 	5<chiso range<13 	37.061	38.2387	7.17277	0.16419
50  <pt<65 	6<chiso range<11 	37.061	37.5965	7.31873	0.0731684
50  <pt<65 	6<chiso range<12 	37.061	38.3315	7.15193	0.177644
50  <pt<65 	6<chiso range<13 	37.061	38.0659	7.17964	0.139965
50  <pt<65 	7<chiso range<12 	37.061	38.6462	7.11095	0.222924
50  <pt<65 	7<chiso range<13 	37.061	38.2565	7.14324	0.167361
50  <pt<65 	8<chiso range<13 	37.061	38.9301	7.04796	0.265197
#######################################################################################
65  <pt<100 	3<chiso range<8 	31.8437	32.0084	6.28946	0.0261867
65  <pt<100 	3<chiso range<9 	31.8437	31.923	6.30253	0.0125822
65  <pt<100 	3<chiso range<10 	31.8437	31.9278	6.31315	0.0133214
65  <pt<100 	3<chiso range<11 	31.8437	31.8565	6.35498	0.00201417
65  <pt<100 	3<chiso range<12 	31.8437	32.6879	6.2537	0.134992
65  <pt<100 	3<chiso range<13 	31.8437	32.6184	6.25491	0.123855
65  <pt<100 	4<chiso range<9 	31.8437	31.7952	6.32966	0.00766234
65  <pt<100 	4<chiso range<10 	31.8437	31.8208	6.3391	0.0036125
65  <pt<100 	4<chiso range<11 	31.8437	31.7637	6.38425	0.0125308
65  <pt<100 	4<chiso range<12 	31.8437	32.7137	6.26043	0.138968
65  <pt<100 	4<chiso range<13 	31.8437	32.633	6.26103	0.126066
65  <pt<100 	5<chiso range<10 	31.8437	31.9066	6.30675	0.00997344
65  <pt<100 	5<chiso range<11 	31.8437	31.8101	6.3629	0.00528061
